objectid,name,average,avgweight,boardgamecategory,boardgamemechanic
572,Battle Cattle,5.37606,1.5,"['Animals', 'Fighting', 'Humor', 'Miniatures', 'Science Fiction', 'Wargame']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Grid Movement', 'Player Elimination', 'Take That', 'Variable Player Powers']"
3863,007 James Bond  Live and Let Die,5.22059,1,"['Adventure', 'Dice', 'Fighting', 'Movies / TV / Radio theme', 'Nautical', 'Novel-based']","['Role Playing', 'Roll / Spin and Move', 'Variable Player Powers']"
230768,Out of the Woods,5.63953,1,"['Card Game', 'Fantasy', 'Horror', 'Novel-based', 'Party Game']","['Memory', 'Player Elimination', 'Storytelling']"
5666,Strolling Bowling,4.92188,1,"['Childrens Game', 'Humor', 'Party Game', 'Sports']","['Childrens Game', 'Humor', 'Party Game', 'Sports']"
235247,Jim Henson's The Dark Crystal  Board Game,5.37949,2.3333,"['Adventure', 'Movies / TV / Radio theme']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Time Track']"
219278,Dread Draw,5.69636,1,"['Card Game', 'Fantasy']","['Player Elimination', 'Push Your Luck']"
8332,Red Beach One  Tarawa,5.46265,2.6667,"['Wargame', 'World War II']",['Hexagon Grid']
24484,Disorder,5.30147,1.3846,"['Bluffing', 'Card Game', 'Word Game']","['Bluffing', 'Card Game', 'Word Game']"
40507,Skip-Bo junior,5.33405,1,"['Card Game', 'Childrens Game']",['Hand Management']
147685,Hook!,5.46054,1.1429,"['Animals', 'Fighting', 'Party Game', 'Pirates', 'Real-time']","['Player Elimination', 'Simultaneous Action Selection']"
41186,Monopoly City,5.61762,2.1154,"['City Building', 'Economic', 'Electronic', 'Negotiation']","['Auction/Bidding', 'Dice Rolling', 'Roll / Spin and Move', 'Set Collection', 'Trading']"
12130,Barons' War,5.40662,3,"['Medieval', 'Wargame']",['Hexagon Grid']
6513,Don't Panic!,5.37826,1.2308,"['Deduction', 'Educational', 'Memory', 'Party Game', 'Real-time', 'Trivia']",['Memory']
2140,Eldorado,5.35345,1.75,"['Adventure', 'Exploration', 'Racing']",['Roll / Spin and Move']
3203,Contack,5.30556,1.4444,"['Abstract Strategy', 'Card Game']",['Tile Placement']
98189,Casse-toi Pov'con!,5.29888,1.1429,['Party Game'],['Pattern Recognition']
3016,Stand & Die  The Battle of Borodino,5.48039,3.5556,"['Wargame', 'World War II']",['Hexagon Grid']
84173,Van Helsing,5.3674,1.8182,['Horror'],"['Action Points', 'Team-Based Game']"
12988,Collide-O!,5.125,1.2,"['Action / Dexterity', 'Card Game']",['Pattern Recognition']
33701,Wahoo,5.33056,1.25,"['Abstract Strategy', 'Dice']","['Roll / Spin and Move', 'Team-Based Game']"
